year,id,longitude,latitude,DOY,EVI,NDVI,SummaryQA,DetailedQA
2005,_02_18,-138.9165984,69.58237901,52,-695,-489,2,20757
2004,_02_18,-138.9188442,69.5846248,52,-959,-704,3,4110
2005,_02_18,-138.9188442,69.5846248,52,-670,-475,2,20757
2004,_02_18,-138.9278274,69.58687059,52,-959,-704,3,4110
2005,_02_18,-138.9278274,69.58687059,52,-670,-475,2,20757
2001,_02_18,-138.9233358,69.58911638,52,-1389,-1401,2,18449
2005,_02_18,-138.9233358,69.58911638,52,-693,-507,2,20497
2007,_02_18,-138.8671911,69.57564165,53,-498,-328,2,20757
2007,_02_18,-138.8649453,69.57564165,53,-498,-328,2,20757
2013,_02_18,-138.8694369,69.58013323,53,-381,-240,3,4370
2001,_02_18,-138.8716827,69.58237901,53,-1131,-806,2,20761
2013,_02_18,-138.8716827,69.58237901,53,-384,-241,3,4370
2003,_02_18,-138.9188442,69.5846248,53,-525,-332,2,20497
2003,_02_18,-138.9278274,69.58687059,53,-525,-332,2,20497
2010,_02_18,-138.8671911,69.57564165,54,-597,-407,3,4370
2012,_02_18,-138.8671911,69.57564165,54,-352,-218,3,4370
2010,_02_18,-138.8649453,69.57564165,54,-597,-407,3,4370
2012,_02_18,-138.8649453,69.57564165,54,-352,-218,3,4370
2012,_02_18,-138.9165984,69.58237901,54,-464,-291,3,4370
2014,_02_18,-138.9165984,69.58237901,54,-728,-468,2,20497
2003,_02_18,-138.8716827,69.58237901,54,-1147,-964,2,53273
2014,_02_18,-138.9188442,69.5846248,54,-736,-455,2,18449
2014,_02_18,-138.9278274,69.58687059,54,-736,-455,2,18449
2014,_02_18,-138.9233358,69.58911638,54,-649,-407,2,18449
2009,_02_18,-138.8671911,69.57564165,55,-565,-372,2,20757
2014,_02_18,-138.8671911,69.57564165,55,-675,-423,2,20497
2009,_02_18,-138.8649453,69.57564165,55,-565,-372,2,20757
2014,_02_18,-138.8649453,69.57564165,55,-675,-423,2,20497
2009,_02_18,-138.8694369,69.58013323,55,-751,-503,2,20757
2009,_02_18,-138.9165984,69.58237901,55,-579,-366,2,20757
2009,_02_18,-138.8716827,69.58237901,55,-712,-488,2,20757
2014,_02_18,-138.8716827,69.58237901,55,-885,-582,2,20497
2009,_02_18,-138.9188442,69.5846248,55,-663,-418,2,20757
2009,_02_18,-138.9278274,69.58687059,55,-663,-418,2,20757
2009,_02_18,-138.9233358,69.58911638,55,-786,-508,2,20757
2006,_02_18,-138.8671911,69.57564165,56,-346,-227,3,4370
2006,_02_18,-138.8649453,69.57564165,56,-346,-227,3,4370
2000,_02_18,-138.9165984,69.58237901,56,-650,-455,3,4370
2006,_02_18,-138.8716827,69.58237901,56,-575,-392,3,4370
2008,_02_18,-138.8671911,69.57564165,57,-394,-252,3,4370
2008,_02_18,-138.8649453,69.57564165,57,-394,-252,3,4370
2005,_02_18,-138.8694369,69.58013323,57,-321,-201,3,4370
2008,_02_18,-138.8694369,69.58013323,57,-645,-421,2,20761
2010,_02_18,-138.8694369,69.58013323,57,-383,-234,3,4370
2017,_02_18,-138.8694369,69.58013323,57,-350,-227,2,20757
2008,_02_18,-138.9165984,69.58237901,57,-467,-297,2,20757
2005,_02_18,-138.8716827,69.58237901,57,-435,-288,3,4370
2000,_02_18,-138.8671911,69.57564165,58,-357,-221,3,4370
2017,_02_18,-138.8671911,69.57564165,58,-296,-189,3,4370
2000,_02_18,-138.8649453,69.57564165,58,-357,-221,3,4370
2017,_02_18,-138.8649453,69.57564165,58,-296,-189,3,4370
2000,_02_18,-138.8694369,69.58013323,58,-376,-233,3,4370
2017,_02_18,-138.9165984,69.58237901,58,-356,-225,2,20757
2012,_02_18,-138.8716827,69.58237901,58,-587,-391,3,4370
2000,_02_18,-138.9188442,69.5846248,58,-567,-362,3,4374
2017,_02_18,-138.9188442,69.5846248,58,-350,-221,2,20757
2000,_02_18,-138.9278274,69.58687059,58,-567,-362,3,4374
2017,_02_18,-138.9278274,69.58687059,58,-350,-221,2,20757
2006,_02_18,-138.9233358,69.58911638,58,-276,-180,3,4110
2012,_02_18,-138.9233358,69.58911638,58,-569,-375,3,4110
2017,_02_18,-138.9233358,69.58911638,58,-316,-196,2,20497
2010,_02_18,-138.9165984,69.58237901,59,-652,-428,3,4370
2010,_02_18,-138.8716827,69.58237901,59,-678,-447,3,4370
2016,_02_18,-138.8716827,69.58237901,59,-683,-451,2,20757
2008,_02_18,-138.9188442,69.5846248,59,-1147,-864,2,20497
2008,_02_18,-138.9278274,69.58687059,59,-1147,-864,2,20497
2008,_02_18,-138.9233358,69.58911638,59,-1039,-757,2,20497
2010,_02_18,-138.9233358,69.58911638,59,-723,-481,3,4110
2011,_02_18,-138.8671911,69.57564165,60,-536,-343,2,20497
2016,_02_18,-138.8671911,69.57564165,60,-319,-198,2,20757
2011,_02_18,-138.8649453,69.57564165,60,-536,-343,2,20497
2016,_02_18,-138.8649453,69.57564165,60,-319,-198,2,20757
2007,_02_18,-138.8694369,69.58013323,60,-711,-503,2,20757
2011,_02_18,-138.8694369,69.58013323,60,-516,-326,2,20497
2014,_02_18,-138.8694369,69.58013323,60,-656,-422,2,20497
2007,_02_18,-138.9165984,69.58237901,60,-652,-465,2,20757
2016,_02_18,-138.9165984,69.58237901,60,-548,-346,2,20497
2007,_02_18,-138.8716827,69.58237901,60,-748,-536,2,20757
2007,_02_18,-138.9188442,69.5846248,60,-703,-492,2,20757
2010,_02_18,-138.9188442,69.5846248,60,-806,-581,3,4110
2011,_02_18,-138.9188442,69.5846248,60,-500,-314,2,20497
2016,_02_18,-138.9188442,69.5846248,60,-493,-306,2,20497
2007,_02_18,-138.9278274,69.58687059,60,-703,-492,2,20757
2010,_02_18,-138.9278274,69.58687059,60,-806,-581,3,4110
2011,_02_18,-138.9278274,69.58687059,60,-500,-314,2,20497
2016,_02_18,-138.9278274,69.58687059,60,-493,-306,2,20497
2007,_02_18,-138.9233358,69.58911638,60,-660,-455,2,20497
2016,_02_18,-138.9233358,69.58911638,60,-825,-581,2,20497
2004,_02_18,-138.8671911,69.57564165,61,-540,-348,2,20757
2004,_02_18,-138.8649453,69.57564165,61,-540,-348,2,20757
2004,_02_18,-138.8694369,69.58013323,61,-530,-340,2,20757
2004,_02_18,-138.8716827,69.58237901,61,-634,-411,2,20757
2004,_02_18,-138.9233358,69.58911638,61,-510,-320,2,20497
2005,_02_18,-138.8671911,69.57564165,62,-541,-347,3,4370
2013,_02_18,-138.8671911,69.57564165,62,-258,-164,3,4370
2005,_02_18,-138.8649453,69.57564165,62,-541,-347,3,4370
2013,_02_18,-138.8649453,69.57564165,62,-258,-164,3,4370
2016,_02_18,-138.8694369,69.58013323,62,-561,-375,3,4370
2011,_02_18,-138.9165984,69.58237901,62,-737,-470,2,20497
2013,_02_18,-138.9165984,69.58237901,62,-322,-202,3,4370
2002,_02_18,-138.8716827,69.58237901,62,-820,-573,2,53533
2012,_02_18,-138.9188442,69.5846248,62,-590,-413,3,4110
2012,_02_18,-138.9278274,69.58687059,62,-590,-413,3,4110
2011,_02_18,-138.9233358,69.58911638,62,-701,-445,2,20497
2003,_02_18,-138.8671911,69.57564165,63,-269,-172,2,20757
2003,_02_18,-138.8649453,69.57564165,63,-269,-172,2,20757
2002,_02_18,-138.8694369,69.58013323,63,-532,-342,2,20761
2003,_02_18,-138.8694369,69.58013323,63,-430,-281,2,20757
2012,_02_18,-138.8694369,69.58013323,63,-432,-301,2,20757
2002,_02_18,-138.9165984,69.58237901,63,-499,-311,2,20497
2003,_02_18,-138.9165984,69.58237901,63,-353,-230,2,20757
2017,_02_18,-138.8716827,69.58237901,63,-438,-289,3,4370
2002,_02_18,-138.9188442,69.5846248,63,-480,-296,2,20497
2013,_02_18,-138.9188442,69.5846248,63,-405,-270,2,20757
2002,_02_18,-138.9278274,69.58687059,63,-480,-296,2,20497
2013,_02_18,-138.9278274,69.58687059,63,-405,-270,2,20757
2002,_02_18,-138.9233358,69.58911638,63,-557,-349,2,20497
2013,_02_18,-138.9233358,69.58911638,63,-454,-310,2,18449
2001,_02_18,-138.8671911,69.57564165,64,-587,-406,3,4370
2015,_02_18,-138.8671911,69.57564165,64,-606,-396,2,20497
2001,_02_18,-138.8649453,69.57564165,64,-587,-406,3,4370
2015,_02_18,-138.8649453,69.57564165,64,-606,-396,2,20497
2001,_02_18,-138.8694369,69.58013323,64,-698,-494,3,4370
2006,_02_18,-138.8694369,69.58013323,64,-225,-140,3,4374
2015,_02_18,-138.8694369,69.58013323,64,-655,-432,2,20497
2001,_02_18,-138.9165984,69.58237901,64,-656,-462,3,4370
2004,_02_18,-138.9165984,69.58237901,64,-393,-248,3,4370
2006,_02_18,-138.9165984,69.58237901,64,-132,-81,3,4374
2015,_02_18,-138.9165984,69.58237901,64,-532,-335,2,20497
2000,_02_18,-138.8716827,69.58237901,64,-852,-613,2,53533
2015,_02_18,-138.8716827,69.58237901,64,-765,-515,2,20497
2006,_02_18,-138.9188442,69.5846248,64,-217,-133,3,4374
2015,_02_18,-138.9188442,69.5846248,64,-692,-441,2,20497
2006,_02_18,-138.9278274,69.58687059,64,-217,-133,3,4374
2015,_02_18,-138.9278274,69.58687059,64,-692,-441,2,20497
2003,_02_18,-138.9233358,69.58911638,64,-593,-381,2,20497
2015,_02_18,-138.9233358,69.58911638,64,-737,-477,2,20497
2012,_03_05,-138.8671911,69.57564165,65,-144,-95,2,20757
2012,_03_05,-138.8649453,69.57564165,65,-144,-95,2,20757
2007,_03_06,-138.8694369,69.58013323,65,-479,-313,2,20757
2012,_03_05,-138.9188442,69.5846248,65,-256,-161,2,20757
2012,_03_05,-138.9278274,69.58687059,65,-256,-161,2,20757
2007,_03_06,-138.9233358,69.58911638,65,-521,-337,2,20497
2012,_03_05,-138.9233358,69.58911638,65,-206,-132,2,20497
2003,_03_06,-138.8694369,69.58013323,66,-834,-574,3,4110
2003,_03_06,-138.8716827,69.58237901,66,-853,-598,3,4110
2006,_03_06,-138.8716827,69.58237901,66,-745,-498,2,20757
2014,_03_06,-138.8694369,69.58013323,67,-540,-329,2,20497
2014,_03_06,-138.9165984,69.58237901,67,-598,-365,2,20497
2002,_03_06,-138.9233358,69.58911638,67,-605,-376,2,18449
2010,_03_06,-138.9233358,69.58911638,67,-827,-517,2,20497
2014,_03_06,-138.9233358,69.58911638,67,-720,-442,2,20497
2001,_03_06,-138.8716827,69.58237901,69,-311,-191,3,4374
2005,_03_06,-138.8671911,69.57564165,70,-606,-390,2,20757
2008,_03_05,-138.8671911,69.57564165,70,-490,-316,3,4114
2005,_03_06,-138.8649453,69.57564165,70,-606,-390,2,20757
2008,_03_05,-138.8649453,69.57564165,70,-490,-316,3,4114
2008,_03_05,-138.8694369,69.58013323,70,-384,-240,3,4114
2005,_03_06,-138.9165984,69.58237901,70,-513,-328,2,20757
2008,_03_05,-138.9165984,69.58237901,70,-432,-269,3,4114
2008,_03_05,-138.9188442,69.5846248,70,-460,-290,3,4114
2015,_03_06,-138.9188442,69.5846248,70,-595,-367,2,20501
2008,_03_05,-138.9278274,69.58687059,70,-460,-290,3,4114
2015,_03_06,-138.9278274,69.58687059,70,-595,-367,2,20501
2005,_03_06,-138.9233358,69.58911638,70,-639,-404,2,20497
2015,_03_06,-138.9233358,69.58911638,70,-591,-367,2,20501
2006,_03_06,-138.8671911,69.57564165,71,-480,-308,2,20757
2013,_03_06,-138.8671911,69.57564165,71,-267,-170,3,4114
2006,_03_06,-138.8649453,69.57564165,71,-480,-308,2,20757
2013,_03_06,-138.8649453,69.57564165,71,-267,-170,3,4114
2006,_03_06,-138.8694369,69.58013323,71,-517,-331,2,20757
2010,_03_06,-138.8694369,69.58013323,71,-863,-542,2,20497
2013,_03_06,-138.8694369,69.58013323,71,-270,-169,3,4114
2006,_03_06,-138.9165984,69.58237901,71,-477,-299,2,20757
2013,_03_06,-138.9165984,69.58237901,71,-332,-211,3,4114
2015,_03_06,-138.8716827,69.58237901,71,-818,-545,2,20757
2000,_03_05,-138.9188442,69.5846248,71,-556,-342,2,20541
2006,_03_06,-138.9188442,69.5846248,71,-548,-344,2,20757
2016,_03_05,-138.9188442,69.5846248,71,-377,-231,3,4114
2000,_03_05,-138.9278274,69.58687059,71,-556,-342,2,20541
2006,_03_06,-138.9278274,69.58687059,71,-548,-344,2,20757
2016,_03_05,-138.9278274,69.58687059,71,-377,-231,3,4114
2006,_03_06,-138.9233358,69.58911638,71,-557,-350,2,20757
2003,_03_06,-138.9165984,69.58237901,72,-565,-363,2,20497
2003,_03_06,-138.9188442,69.5846248,72,-620,-398,2,20497
2003,_03_06,-138.9278274,69.58687059,72,-620,-398,2,20497
2003,_03_06,-138.9233358,69.58911638,72,-697,-450,2,20497
2000,_03_05,-138.8694369,69.58013323,73,-591,-377,2,20497
2000,_03_05,-138.8716827,69.58237901,73,-762,-517,2,20497
2002,_03_06,-138.8716827,69.58237901,73,-725,-481,2,20757
2008,_03_05,-138.8716827,69.58237901,73,-591,-383,3,4370
2014,_03_06,-138.8716827,69.58237901,73,-696,-444,2,20501
2007,_03_06,-138.9188442,69.5846248,73,-598,-368,2,20497
2013,_03_06,-138.9188442,69.5846248,73,-272,-167,3,4110
2007,_03_06,-138.9278274,69.58687059,73,-598,-368,2,20497
2013,_03_06,-138.9278274,69.58687059,73,-272,-167,3,4110
2000,_03_05,-138.9233358,69.58911638,73,-615,-384,2,20497
2008,_03_05,-138.9233358,69.58911638,73,-727,-484,2,53533
2002,_03_06,-138.8671911,69.57564165,74,-595,-375,2,20757
2007,_03_06,-138.8671911,69.57564165,74,-506,-323,2,20497
2016,_03_05,-138.8671911,69.57564165,74,-756,-480,2,20497
2002,_03_06,-138.8649453,69.57564165,74,-595,-375,2,20757
2007,_03_06,-138.8649453,69.57564165,74,-506,-323,2,20497
2016,_03_05,-138.8649453,69.57564165,74,-756,-480,2,20497
2002,_03_06,-138.8694369,69.58013323,74,-643,-405,2,20757
2011,_03_06,-138.8694369,69.58013323,74,-690,-438,2,20497
2012,_03_05,-138.8694369,69.58013323,74,-360,-228,2,20757
2016,_03_05,-138.8694369,69.58013323,74,NA,NA,2,20497
2002,_03_06,-138.9165984,69.58237901,74,-569,-350,2,20757
2007,_03_06,-138.9165984,69.58237901,74,-442,-273,2,20497
2012,_03_05,-138.9165984,69.58237901,74,-260,-165,2,20757
2016,_03_05,-138.9165984,69.58237901,74,NA,NA,2,20497
2007,_03_06,-138.8716827,69.58237901,74,-737,-476,2,20497
2010,_03_06,-138.8716827,69.58237901,74,-680,-444,3,4110
2012,_03_05,-138.8716827,69.58237901,74,-513,-340,2,20757
2002,_03_06,-138.9188442,69.5846248,74,-586,-361,2,20757
2014,_03_06,-138.9188442,69.5846248,74,-749,-458,2,20497
2002,_03_06,-138.9278274,69.58687059,74,-586,-361,2,20757
2014,_03_06,-138.9278274,69.58687059,74,-749,-458,2,20497
2010,_03_06,-138.8671911,69.57564165,75,-768,-488,2,20497
2010,_03_06,-138.8649453,69.57564165,75,-768,-488,2,20497
2001,_03_06,-138.8694369,69.58013323,75,-434,-268,2,20757
2001,_03_06,-138.9165984,69.58237901,75,-490,-308,2,20757
2004,_03_05,-138.9165984,69.58237901,75,NA,NA,2,20497
2010,_03_06,-138.9165984,69.58237901,75,-697,-437,3,21534
2011,_03_06,-138.8716827,69.58237901,75,-657,-434,3,4110
2001,_03_06,-138.9188442,69.5846248,75,-504,-314,2,20757
2010,_03_06,-138.9188442,69.5846248,75,-775,-479,2,20497
2001,_03_06,-138.9278274,69.58687059,75,-504,-314,2,20757
2010,_03_06,-138.9278274,69.58687059,75,-775,-479,2,20497
2001,_03_06,-138.9233358,69.58911638,75,-473,-295,2,20497
2013,_03_06,-138.9233358,69.58911638,75,-222,-138,2,20497
2017,_03_06,-138.9233358,69.58911638,75,-361,-229,2,20497
2009,_03_06,-138.8671911,69.57564165,76,-585,-375,2,20757
2009,_03_06,-138.8649453,69.57564165,76,-585,-375,2,20757
2009,_03_06,-138.8694369,69.58013323,76,-627,-403,2,20757
2009,_03_06,-138.9165984,69.58237901,76,-639,-411,2,20757
2009,_03_06,-138.8716827,69.58237901,76,-647,-417,2,20757
2009,_03_06,-138.9188442,69.5846248,76,-729,-470,2,20757
2009,_03_06,-138.9278274,69.58687059,76,-729,-470,2,20757
2009,_03_06,-138.9233358,69.58911638,76,-720,-466,2,20757
2011,_03_06,-138.9233358,69.58911638,76,NA,NA,2,20497
2016,_03_05,-138.9233358,69.58911638,76,-742,-465,2,20497
2001,_03_06,-138.8671911,69.57564165,77,-446,-280,2,20757
2004,_03_05,-138.8671911,69.57564165,77,-778,-513,3,4110
2001,_03_06,-138.8649453,69.57564165,77,-446,-280,2,20757
2004,_03_05,-138.8649453,69.57564165,77,-778,-513,3,4110
2005,_03_06,-138.8694369,69.58013323,77,-588,-372,2,20757
2004,_03_05,-138.8716827,69.58237901,77,-739,-486,3,4110
2005,_03_06,-138.8716827,69.58237901,77,-585,-384,2,20757
2013,_03_06,-138.8716827,69.58237901,77,-377,-240,3,4370
2005,_03_06,-138.9188442,69.5846248,77,-618,-376,2,20757
2005,_03_06,-138.9278274,69.58687059,77,-618,-376,2,20757
2003,_03_06,-138.8671911,69.57564165,79,-342,-214,3,4370
2017,_03_06,-138.8671911,69.57564165,79,-343,-245,2,20497
2003,_03_06,-138.8649453,69.57564165,79,-342,-214,3,4370
2017,_03_06,-138.8649453,69.57564165,79,-343,-245,2,20497
2004,_03_05,-138.8694369,69.58013323,79,-748,-470,2,20497
2017,_03_06,-138.8694369,69.58013323,79,-372,-258,2,20497
2017,_03_06,-138.9165984,69.58237901,79,-520,-374,2,20497
2016,_03_05,-138.8716827,69.58237901,79,-316,-199,3,4114
2017,_03_06,-138.8716827,69.58237901,79,-302,-218,2,20497
2004,_03_05,-138.9188442,69.5846248,79,-762,-472,2,18449
2017,_03_06,-138.9188442,69.5846248,79,-462,-321,2,20497
2004,_03_05,-138.9278274,69.58687059,79,-762,-472,2,18449
2017,_03_06,-138.9278274,69.58687059,79,-462,-321,2,20497
2004,_03_05,-138.9233358,69.58911638,79,-765,-477,2,20497
2015,_03_06,-138.8671911,69.57564165,80,-722,-458,2,20497
2015,_03_06,-138.8649453,69.57564165,80,-722,-458,2,20497
2015,_03_06,-138.8694369,69.58013323,80,-784,-496,2,20497
2015,_03_06,-138.9165984,69.58237901,80,-760,-473,2,20497
2012,_03_21,-138.8671911,69.57564165,81,-291,-194,2,20757
